cycle,pc,cta_id,cluster_id,warp_id,tid
5005,2d0,1,3,1,ffffffff
5006,2d0,1,3,2,ffffffff
5007,2d0,1,3,3,ffffffff
5008,2d0,1,3,6,ffffffff
5009,2d0,1,3,7,ffffffff
5010,2d0,1,3,4,ffffffff
5011,2d0,1,3,5,ffffffff
5012,2d0,1,3,8,ffffffff
5013,2d0,1,3,9,ffffffff
5014,2d0,1,3,10,ffffffff
5015,2d0,1,3,15,ffffffff
5016,2d8,1,3,1,ffffffff
5017,2d8,1,3,2,ffffffff
5018,2d8,1,3,3,ffffffff
5019,2d0,1,3,0,ffffffff
5020,2d8,1,3,5,ffffffff
5021,2d8,1,3,6,ffffffff
5022,2d8,1,3,7,ffffffff
5023,2d8,1,3,4,ffffffff
5024,2d8,1,3,9,ffffffff
5025,2d8,1,3,10,ffffffff
5026,2d8,1,3,11,ffffffff
5027,2d8,1,3,8,ffffffff
5028,2d8,1,3,13,ffffffff
5029,2d8,1,3,14,ffffffff
5030,2d8,1,3,15,ffffffff
5031,2d8,1,3,12,ffffffff
5032,2e0,1,3,1,ffffffff
5033,2e0,1,3,2,ffffffff
5034,2e0,1,3,3,ffffffff
5035,2d8,1,3,0,ffffffff
5036,2e0,1,3,5,ffffffff
5037,2e0,1,3,6,ffffffff
5038,2e0,1,3,7,ffffffff
5039,2e0,1,3,4,ffffffff
5040,2e0,1,3,9,ffffffff
5041,2e0,1,3,10,ffffffff
5042,2e0,1,3,11,ffffffff
5043,2e8,1,3,1,ffffffff
5043,2e0,1,3,8,ffffffff
5044,2e8,1,3,2,ffffffff
5044,2e0,1,3,13,ffffffff
5045,2e8,1,3,3,ffffffff
5045,2d0,1,3,13,ffffffff
5046,2e0,1,3,14,ffffffff
5047,2d0,1,3,14,ffffffff
5048,2e0,1,3,15,ffffffff
5049,2d0,1,3,11,ffffffff
5050,2e0,1,3,12,ffffffff
5051,2e0,1,3,0,ffffffff
5052,2d0,1,3,12,ffffffff
5053,2e8,1,3,4,ffffffff
5053,2f0,1,3,1,ffffffff
5053,2f0,1,3,2,ffffffff
5053,2f0,1,3,3,ffffffff
5054,2f0,1,3,4,ffffffff
5054,2e8,1,3,5,ffffffff
5054,2e8,1,3,6,ffffffff
5054,2e8,1,3,7,ffffffff
5055,2e8,1,3,9,ffffffff
5055,2e8,1,3,10,ffffffff
5055,2e8,1,3,11,ffffffff
5055,2e8,1,3,8,ffffffff
5056,2e8,1,3,14,ffffffff
5056,2e8,1,3,15,ffffffff
5056,2e8,1,3,12,ffffffff
5056,2e8,1,3,13,ffffffff
5057,2f8,1,3,3,ffffffff
5057,2e8,1,3,0,ffffffff
5057,2f8,1,3,1,ffffffff
5057,2f8,1,3,2,ffffffff
5058,2f8,1,3,4,ffffffff
5058,2f0,1,3,5,ffffffff
5058,2f0,1,3,6,ffffffff
5058,2f0,1,3,7,ffffffff
5059,2f0,1,3,9,ffffffff
5059,2f0,1,3,10,ffffffff
5059,2f0,1,3,11,ffffffff
5059,2f0,1,3,8,ffffffff
5060,2f0,1,3,14,ffffffff
5060,2f0,1,3,15,ffffffff
5060,2f0,1,3,12,ffffffff
5060,2f0,1,3,13,ffffffff
5061,2f8,1,3,7,ffffffff
5061,2f0,1,3,0,ffffffff
5061,2f8,1,3,5,ffffffff
5061,2f8,1,3,6,ffffffff
5062,2f8,1,3,8,ffffffff
5062,2f8,1,3,9,ffffffff
5062,2f8,1,3,10,ffffffff
5062,2f8,1,3,11,ffffffff
5063,2f8,1,3,13,ffffffff
5063,2f8,1,3,14,ffffffff
5063,2f8,1,3,15,ffffffff
5063,2f8,1,3,12,ffffffff
5064,2f8,1,3,0,ffffffff
5069,300,1,3,2,ffffffff
5069,300,1,3,3,ffffffff
5069,300,1,3,1,ffffffff
5070,300,1,3,4,ffffffff
5071,300,1,3,5,ffffffff
5071,300,1,3,6,ffffffff
5071,300,1,3,7,ffffffff
5072,300,1,3,8,ffffffff
5073,300,1,3,9,ffffffff
5073,300,1,3,10,ffffffff
5073,300,1,3,11,ffffffff
5074,300,1,3,12,ffffffff
5075,300,1,3,14,ffffffff
5075,300,1,3,15,ffffffff
5075,300,1,3,13,ffffffff
5076,300,1,3,0,ffffffff
5076,308,1,3,1,ffffffff
5076,308,1,3,2,ffffffff
5076,308,1,3,3,ffffffff
5077,308,1,3,4,ffffffff
5077,308,1,3,6,ffffffff
5077,308,1,3,7,ffffffff
5077,308,1,3,5,ffffffff
5078,308,1,3,8,ffffffff
5079,308,1,3,9,ffffffff
5079,308,1,3,10,ffffffff
5079,308,1,3,11,ffffffff
5080,308,1,3,12,ffffffff
5081,308,1,3,14,ffffffff
5081,308,1,3,15,ffffffff
5081,308,1,3,13,ffffffff
5082,308,1,3,0,ffffffff
5084,318,1,3,1,ffffffff
5084,318,1,3,2,ffffffff
5084,318,1,3,3,ffffffff
5085,318,1,3,6,ffffffff
5085,318,1,3,7,ffffffff
5085,318,1,3,4,ffffffff
5085,318,1,3,5,ffffffff
5086,318,1,3,8,ffffffff
5088,320,1,3,1,ffffffff
5088,320,1,3,2,ffffffff
5088,320,1,3,3,ffffffff
5089,320,1,3,6,ffffffff
5089,320,1,3,7,ffffffff
5089,320,1,3,4,ffffffff
5089,320,1,3,5,ffffffff
5090,318,1,3,11,ffffffff
5090,320,1,3,8,ffffffff
5090,318,1,3,9,ffffffff
5090,318,1,3,10,ffffffff
5091,318,1,3,12,ffffffff
5091,318,1,3,13,ffffffff
5091,318,1,3,14,ffffffff
5091,318,1,3,15,ffffffff
5092,318,1,3,0,ffffffff
5095,328,1,3,1,ffffffff
5095,328,1,3,2,ffffffff
5095,328,1,3,3,ffffffff
5096,328,1,3,4,ffffffff
5096,320,1,3,11,ffffffff
5096,320,1,3,9,ffffffff
5096,320,1,3,10,ffffffff
5097,328,1,3,6,ffffffff
5097,328,1,3,7,ffffffff
5097,328,1,3,5,ffffffff
5097,320,1,3,12,ffffffff
5098,328,1,3,8,ffffffff
5100,328,1,3,9,ffffffff
5100,328,1,3,10,ffffffff
5100,328,1,3,11,ffffffff
5101,320,1,3,13,ffffffff
5101,320,1,3,14,ffffffff
5101,320,1,3,15,ffffffff
5101,328,1,3,12,ffffffff
5102,320,1,3,0,ffffffff
5102,328,1,3,14,ffffffff
5102,328,1,3,15,ffffffff
5102,328,1,3,13,ffffffff
5103,328,1,3,0,ffffffff
5105,330,1,3,2,ffffffff
5105,330,1,3,3,ffffffff
5105,330,1,3,1,ffffffff
5106,330,1,3,4,ffffffff
5107,330,1,3,5,ffffffff
5107,330,1,3,6,ffffffff
5107,330,1,3,7,ffffffff
5108,330,1,3,8,ffffffff
5109,330,1,3,11,ffffffff
5109,330,1,3,9,ffffffff
5109,330,1,3,10,ffffffff
5110,330,1,3,12,ffffffff
5111,330,1,3,13,ffffffff
5111,330,1,3,14,ffffffff
5111,330,1,3,15,ffffffff
5112,330,1,3,0,ffffffff
5115,340,1,3,1,ffffffff
5115,340,1,3,2,ffffffff
5115,340,1,3,3,ffffffff
5116,340,1,3,4,ffffffff
5117,340,1,3,7,ffffffff
5117,340,1,3,5,ffffffff
5117,340,1,3,6,ffffffff
5118,340,1,3,8,ffffffff
5119,340,1,3,9,ffffffff
5119,340,1,3,10,ffffffff
5119,340,1,3,11,ffffffff
5120,340,1,3,12,ffffffff
5121,340,1,3,15,ffffffff
5122,340,1,3,13,ffffffff
5122,340,1,3,14,ffffffff
5123,340,1,3,0,ffffffff
5124,348,1,3,2,ffffffff
5124,348,1,3,3,ffffffff
5124,348,1,3,1,ffffffff
5125,348,1,3,4,ffffffff
5126,348,1,3,5,ffffffff
5126,348,1,3,6,ffffffff
5126,348,1,3,7,ffffffff
5127,348,1,3,8,ffffffff
5128,348,1,3,10,ffffffff
5128,348,1,3,11,ffffffff
5128,348,1,3,9,ffffffff
5129,348,1,3,12,ffffffff
5130,348,1,3,15,ffffffff
5131,348,1,3,13,ffffffff
5131,348,1,3,14,ffffffff
5132,348,1,3,0,ffffffff
5132,358,1,3,1,ffffffff
5132,358,1,3,2,ffffffff
5132,358,1,3,3,ffffffff
5133,350,1,3,3,ffffffff
5133,350,1,3,1,ffffffff
5133,350,1,3,2,ffffffff
5133,358,1,3,4,ffffffff
5134,350,1,3,4,ffffffff
5135,358,1,3,7,ffffffff
5135,358,1,3,5,ffffffff
5135,358,1,3,6,ffffffff
5136,350,1,3,5,ffffffff
5136,350,1,3,6,ffffffff
5136,350,1,3,7,ffffffff
5136,358,1,3,8,ffffffff
5137,350,1,3,8,ffffffff
5138,360,1,3,5,ffffffff
5138,360,1,3,6,ffffffff
5139,350,1,3,9,ffffffff
5139,350,1,3,10,ffffffff
5139,350,1,3,11,ffffffff
5140,360,1,3,3,ffffffff
5140,350,1,3,12,ffffffff
5140,358,1,3,9,ffffffff
5140,358,1,3,10,ffffffff
5141,360,1,3,2,ffffffff
5141,360,1,3,4,ffffffff
5141,350,1,3,15,ffffffff
5142,350,1,3,0,ffffffff
5143,360,1,3,1,ffffffff
